Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prNPH10E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	10	Ppinaster_Asymptomatic	prNPHE	
prNPH10R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	10	Ppinaster_Asymptomatic	prNPHR	
prNPH11E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	11	Ppinaster_Asymptomatic	prNPHE	
prNPH11R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	11	Ppinaster_Asymptomatic	prNPHR	
prNPH12E	Spring	SierraNevada	Ppinaster	Asymptomatic	Endosphere	12	Ppinaster_Asymptomatic	prNPHE	
prNPH12R	Spring	SierraNevada	Ppinaster	Asymptomatic	Rhizosphere	12	Ppinaster_Asymptomatic	prNPHR	
prNSD01E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	1	Psylvestris_Symptomatic	prNSDE	
prNSD01R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	1	Psylvestris_Symptomatic	prNSDR	
prNSD02E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	2	Psylvestris_Symptomatic	prNSDE	
prNSD02R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	2	Psylvestris_Symptomatic	prNSDR	
prNSD03E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	3	Psylvestris_Symptomatic	prNSDE	
prNSD03R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	3	Psylvestris_Symptomatic	prNSDR	
prNSD04E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	4	Psylvestris_Symptomatic	prNSDE	
prNSD04R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	4	Psylvestris_Symptomatic	prNSDR	
prNSD05E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	5	Psylvestris_Symptomatic	prNSDE	
prNSD05R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	5	Psylvestris_Symptomatic	prNSDR	
prNSD06E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	6	Psylvestris_Symptomatic	prNSDE	
prNSD06R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	6	Psylvestris_Symptomatic	prNSDR	
prNSD07E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	7	Psylvestris_Symptomatic	prNSDE	
prNSD07R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	7	Psylvestris_Symptomatic	prNSDR	
prNSD08E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	8	Psylvestris_Symptomatic	prNSDE	
prNSD08R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	8	Psylvestris_Symptomatic	prNSDR	
prNSD09E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	9	Psylvestris_Symptomatic	prNSDE	
prNSD09R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	9	Psylvestris_Symptomatic	prNSDR	
prNSD10E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	10	Psylvestris_Symptomatic	prNSDE	
prNSD10R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	10	Psylvestris_Symptomatic	prNSDR	
prNSD11E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	11	Psylvestris_Symptomatic	prNSDE	
prNSD11R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	11	Psylvestris_Symptomatic	prNSDR	
prNSD12E	Spring	SierraNevada	Psylvestris	Symptomatic	Endosphere	12	Psylvestris_Symptomatic	prNSDE	
prNSD12R	Spring	SierraNevada	Psylvestris	Symptomatic	Rhizosphere	12	Psylvestris_Symptomatic	prNSDR	
prNSH01E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	1	Psylvestris_Asymptomatic	prNSHE	
prNSH01R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	1	Psylvestris_Asymptomatic	prNSHR	
prNSH02E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	2	Psylvestris_Asymptomatic	prNSHE	
prNSH02R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	2	Psylvestris_Asymptomatic	prNSHR	
prNSH03E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	3	Psylvestris_Asymptomatic	prNSHE	
prNSH03R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	3	Psylvestris_Asymptomatic	prNSHR	
prNSH04E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	4	Psylvestris_Asymptomatic	prNSHE	
prNSH04R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	4	Psylvestris_Asymptomatic	prNSHR	
prNSH05E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	5	Psylvestris_Asymptomatic	prNSHE	
prNSH05R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	5	Psylvestris_Asymptomatic	prNSHR	
prNSH06E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	6	Psylvestris_Asymptomatic	prNSHE	
prNSH06R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	6	Psylvestris_Asymptomatic	prNSHR	
prNSH07E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	7	Psylvestris_Asymptomatic	prNSHE	
prNSH07R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	7	Psylvestris_Asymptomatic	prNSHR	
prNSH08E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	8	Psylvestris_Asymptomatic	prNSHE	
prNSH08R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	8	Psylvestris_Asymptomatic	prNSHR	
prNSH09E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	9	Psylvestris_Asymptomatic	prNSHE	
prNSH09R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	9	Psylvestris_Asymptomatic	prNSHR	
prNSH10E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	10	Psylvestris_Asymptomatic	prNSHE	
prNSH10R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	10	Psylvestris_Asymptomatic	prNSHR	
prNSH11E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	11	Psylvestris_Asymptomatic	prNSHE	
prNSH11R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	11	Psylvestris_Asymptomatic	prNSHR	
prNSH12E	Spring	SierraNevada	Psylvestris	Asymptomatic	Endosphere	12	Psylvestris_Asymptomatic	prNSHE	
prNSH12R	Spring	SierraNevada	Psylvestris	Asymptomatic	Rhizosphere	12	Psylvestris_Asymptomatic	prNSHR	
vAPH01E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	1	Ppinaster_Asymptomatic	vAPHE	
vAPH01R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	1	Ppinaster_Asymptomatic	vAPHR	
vAPH02E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	2	Ppinaster_Asymptomatic	vAPHE	
vAPH02R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	2	Ppinaster_Asymptomatic	vAPHR	
vAPH03E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	3	Ppinaster_Asymptomatic	vAPHE	
vAPH03R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	3	Ppinaster_Asymptomatic	vAPHR	
vAPH04E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	4	Ppinaster_Asymptomatic	vAPHE	
vAPH04R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	4	Ppinaster_Asymptomatic	vAPHR	
vAPH05E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	5	Ppinaster_Asymptomatic	vAPHE	
vAPH05R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	5	Ppinaster_Asymptomatic	vAPHR	
vAPH06E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	6	Ppinaster_Asymptomatic	vAPHE	
vAPH06R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	6	Ppinaster_Asymptomatic	vAPHR	
vAPH07E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	7	Ppinaster_Asymptomatic	vAPHE	
vAPH07R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	7	Ppinaster_Asymptomatic	vAPHR	
vAPH08E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	8	Ppinaster_Asymptomatic	vAPHE	
vAPH08R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	8	Ppinaster_Asymptomatic	vAPHR	
vAPH09E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	9	Ppinaster_Asymptomatic	vAPHE	
vAPH09R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	9	Ppinaster_Asymptomatic	vAPHR	
vAPH10E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	10	Ppinaster_Asymptomatic	vAPHE	
vAPH10R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	10	Ppinaster_Asymptomatic	vAPHR	
vAPH11E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	11	Ppinaster_Asymptomatic	vAPHE	
vAPH11R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	11	Ppinaster_Asymptomatic	vAPHR	
vAPH12E	Summer	Almijara	Ppinaster	Asymptomatic	Endosphere	12	Ppinaster_Asymptomatic	vAPHE	
vAPH12R	Summer	Almijara	Ppinaster	Asymptomatic	Rhizosphere	12	Ppinaster_Asymptomatic	vAPHR	
vASH01E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	1	Psylvestris_Asymptomatic	vASHE	
vASH01R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	1	Psylvestris_Asymptomatic	vASHR	
vASH02E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	2	Psylvestris_Asymptomatic	vASHE	
vASH02R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	2	Psylvestris_Asymptomatic	vASHR	
vASH03E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	3	Psylvestris_Asymptomatic	vASHE	
vASH03R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	3	Psylvestris_Asymptomatic	vASHR	
vASH04E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	4	Psylvestris_Asymptomatic	vASHE	
vASH04R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	4	Psylvestris_Asymptomatic	vASHR	
vASH05E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	5	Psylvestris_Asymptomatic	vASHE	
vASH05R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	5	Psylvestris_Asymptomatic	vASHR	
vASH06E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	6	Psylvestris_Asymptomatic	vASHE	
vASH06R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	6	Psylvestris_Asymptomatic	vASHR	
vASH07E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	7	Psylvestris_Asymptomatic	vASHE	
vASH07R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	7	Psylvestris_Asymptomatic	vASHR	
vASH08E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	8	Psylvestris_Asymptomatic	vASHE	
vASH08R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	8	Psylvestris_Asymptomatic	vASHR	
vASH09E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	9	Psylvestris_Asymptomatic	vASHE	
vASH09R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	9	Psylvestris_Asymptomatic	vASHR	
vASH10E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	10	Psylvestris_Asymptomatic	vASHE	
vASH10R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	10	Psylvestris_Asymptomatic	vASHR	
vASH11E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	11	Psylvestris_Asymptomatic	vASHE	
vASH11R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	11	Psylvestris_Asymptomatic	vASHR	
vASH12E	Summer	Almijara	Psylvestris	Asymptomatic	Endosphere	12	Psylvestris_Asymptomatic	vASHE	
vASH12R	Summer	Almijara	Psylvestris	Asymptomatic	Rhizosphere	12	Psylvestris_Asymptomatic	vASHR	
vBAH01E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	1	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH01R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	1	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH02E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	2	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH02R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	2	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH03E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	3	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH03R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	3	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH04E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	4	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH04R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	4	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH05E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	5	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH05R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	5	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH06E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	6	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH06R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	6	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH07E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	7	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH07R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	7	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH08E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	8	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH08R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	8	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH09E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	9	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH09R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	9	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH10E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	10	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH10R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	10	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH11E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	11	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH11R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	11	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBAH12E	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	12	Psylvestris_autochthonous_Asymptomatic	vBAHE	
vBAH12R	Summer	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	12	Psylvestris_autochthonous_Asymptomatic	vBAHR	
vBPD01E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	1	Ppinaster_Symptomatic	vBPDE	
vBPD01R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	1	Ppinaster_Symptomatic	vBPDR	
vBPD02E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	2	Ppinaster_Symptomatic	vBPDE	
vBPD02R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	2	Ppinaster_Symptomatic	vBPDR	
vBPD03E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	3	Ppinaster_Symptomatic	vBPDE	
vBPD03R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	3	Ppinaster_Symptomatic	vBPDR	
vBPD04E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	4	Ppinaster_Symptomatic	vBPDE	
vBPD04R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	4	Ppinaster_Symptomatic	vBPDR	
vBPD05E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	5	Ppinaster_Symptomatic	vBPDE	
vBPD05R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	5	Ppinaster_Symptomatic	vBPDR	
vBPD06E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	6	Ppinaster_Symptomatic	vBPDE	
vBPD06R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	6	Ppinaster_Symptomatic	vBPDR	
vBPD07E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	7	Ppinaster_Symptomatic	vBPDE	
vBPD07R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	7	Ppinaster_Symptomatic	vBPDR	
vBPD08E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	8	Ppinaster_Symptomatic	vBPDE	
vBPD08R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	8	Ppinaster_Symptomatic	vBPDR	
vBPD09E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	9	Ppinaster_Symptomatic	vBPDE	
vBPD09R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	9	Ppinaster_Symptomatic	vBPDR	
vBPD10E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	10	Ppinaster_Symptomatic	vBPDE	
vBPD10R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	10	Ppinaster_Symptomatic	vBPDR	
vBPD11E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	11	Ppinaster_Symptomatic	vBPDE	
vBPD11R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	11	Ppinaster_Symptomatic	vBPDR	
vBPD12E	Summer	Baza	Ppinaster	Symptomatic	Endosphere	12	Ppinaster_Symptomatic	vBPDE	
vBPD12R	Summer	Baza	Ppinaster	Symptomatic	Rhizosphere	12	Ppinaster_Symptomatic	vBPDR	
vBSD01E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	1	Psylvestris_Symptomatic	vBSDE	
vBSD01R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	1	Psylvestris_Symptomatic	vBSDR	
vBSD02E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	2	Psylvestris_Symptomatic	vBSDE	
vBSD02R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	2	Psylvestris_Symptomatic	vBSDR	
vBSD03E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	3	Psylvestris_Symptomatic	vBSDE	
vBSD03R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	3	Psylvestris_Symptomatic	vBSDR	
vBSD04E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	4	Psylvestris_Symptomatic	vBSDE	
vBSD04R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	4	Psylvestris_Symptomatic	vBSDR	
vBSD05E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	5	Psylvestris_Symptomatic	vBSDE	
vBSD05R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	5	Psylvestris_Symptomatic	vBSDR	
vBSD06E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	6	Psylvestris_Symptomatic	vBSDE	
vBSD06R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	6	Psylvestris_Symptomatic	vBSDR	
vBSD07E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	7	Psylvestris_Symptomatic	vBSDE	
vBSD07R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	7	Psylvestris_Symptomatic	vBSDR	
vBSD08E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	8	Psylvestris_Symptomatic	vBSDE	
vBSD08R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	8	Psylvestris_Symptomatic	vBSDR	
vBSD09E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	9	Psylvestris_Symptomatic	vBSDE	
vBSD09R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	9	Psylvestris_Symptomatic	vBSDR	
vBSD10E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	10	Psylvestris_Symptomatic	vBSDE	
vBSD10R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	10	Psylvestris_Symptomatic	vBSDR	
vBSD11E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	11	Psylvestris_Symptomatic	vBSDE	
vBSD11R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	11	Psylvestris_Symptomatic	vBSDR	
vBSD12E	Summer	Baza	Psylvestris	Symptomatic	Endosphere	12	Psylvestris_Symptomatic	vBSDE	
vBSD12R	Summer	Baza	Psylvestris	Symptomatic	Rhizosphere	12	Psylvestris_Symptomatic	vBSDR	
vNAD01E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	1	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD01R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	1	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD02E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	2	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD02R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	2	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD03E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	3	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD03R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	3	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD04E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	4	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD04R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	4	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD05E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	5	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD05R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	5	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD06E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	6	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD06R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	6	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD07E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	7	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD07R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	7	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD08E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	8	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD08R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	8	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD09E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	9	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD09R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	9	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD10E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	10	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD10R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	10	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD11E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	11	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD11R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	11	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAD12E	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	12	Psylvestris_autochthonous_Symptomatic	vNADE	
vNAD12R	Summer	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	12	Psylvestris_autochthonous_Symptomatic	vNADR	
vNAH01E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	1	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH01R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	1	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH02E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	2	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH02R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	2	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH03E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	3	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH03R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	3	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH04E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	4	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH04R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	4	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH05E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	5	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH05R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	5	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH06E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	6	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH06R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	6	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH07E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	7	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH07R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	7	Psylvestris_autochthonous_Asymptomatic	vNAHR	
vNAH08E	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	8	Psylvestris_autochthonous_Asymptomatic	vNAHE	
vNAH08R	Summer	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	8	Psylvestris_autochthonous_Asymptomatic	vNAHR	
