Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prASH11R	Spring	Almijara	Psylvestris	Asymptomatic	Rhizosphere	11	Psylvestris_Asymptomatic	prASHR	
prASH12E	Spring	Almijara	Psylvestris	Asymptomatic	Endosphere	12	Psylvestris_Asymptomatic	prASHE	
prASH12R	Spring	Almijara	Psylvestris	Asymptomatic	Rhizosphere	12	Psylvestris_Asymptomatic	prASHR	
prBAH01E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	1	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH01R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	1	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH02E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	2	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH02R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	2	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH03E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	3	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH03R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	3	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH04E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	4	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH04R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	4	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH05E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	5	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH05R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	5	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH06E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	6	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH06R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	6	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH07E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	7	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH07R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	7	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH08E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	8	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH08R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	8	Psylvestris_autochthonous_Asymptomatic	prBAHR	
prBAH09E	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Endosphere	9	Psylvestris_autochthonous_Asymptomatic	prBAHE	
prBAH09R	Spring	Baza	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	9	Psylvestris_autochthonous_Asymptomatic	prBAHR	
