Kingdom	Phylum	Class	Order	Family	Genus	ASV_names	prASH01E	prASH01R	prASH02E	prASH02R	prASH03E	prASH03R	prASH04E	prASH04R	prASH05E	prASH05R	prASH06E	prASH06R	prASH07E	prASH07R	prASH08E	prASH08R	prASH09E	prASH09R	prASH10R	prASH11E	prASH11R	prASH12E	prASH12R	prBSD01E	prBSD01R	prBSD02E	prBSD02R	prBSD03E	prBSD03R	prBSD04E	prBSD04R	prBSD05E	prBSD05R	prBSD06E	prBSD06R	prBSD07E	prBSD07R	prBSD08E	prBSD08R	prBSD09E	prBSD09R	prBSD10R	prBSD11R	prBSD12E	prBSD12R	prNSD01E	prNSD01R	prNSD02E	prNSD02R	prNSD03E	prNSD03R	prNSD04E	prNSD04R	prNSD05E	prNSD05R	prNSD06E	prNSD06R	prNSD07E	prNSD07R	prNSD08E	prNSD08R	prNSD09E	prNSD09R	prNSD10E	prNSD10R	prNSD11E	prNSD11R	prNSD12E	prNSD12R	prNSH01E	prNSH01R	prNSH02E	prNSH02R	prNSH03E	prNSH03R	prNSH04E	prNSH04R	prNSH05E	prNSH05R	prNSH06E	prNSH06R	prNSH07E	prNSH07R	prNSH08E	prNSH08R	prNSH09E	prNSH09R	prNSH10E	prNSH10R	prNSH11R	prNSH12E	prNSH12R	vASH01R	vASH02E	vASH02R	vASH03E	vASH03R	vASH04E	vASH04R	vASH05E	vASH05R	vASH06E	vASH06R	vASH07E	vASH07R	vASH08E	vASH08R	vASH09E	vASH09R	vASH10R	vASH11E	vASH11R	vASH12R	vBSD01E	vBSD01R	vBSD02E	vBSD02R	vBSD03R	vBSD04R	vBSD05E	vBSD05R	vBSD06E	vBSD06R	vBSD07E	vBSD07R	vBSD08E	vBSD08R	vBSD09E	vBSD09R	vBSD10R	vBSD11E	vBSD11R	vBSD12E	vBSD12R	vNSD01R	vNSD02E	vNSD02R	vNSD03E	vNSD03R	vNSD04E	vNSD04R	vNSD05E	vNSD05R	vNSD06E	vNSD06R	vNSD07E	vNSD07R	vNSD08E	vNSD08R	vNSD09E	vNSD09R	vNSD10E	vNSD10R	vNSD11E	vNSD11R	vNSD12E	vNSD12R	vNSH01E	vNSH01R	vNSH02E	vNSH02R	vNSH03E	vNSH03R	vNSH04E	vNSH04R	vNSH05E	vNSH05R	vNSH06E	vNSH06R	vNSH07E	vNSH07R	vNSH08E	vNSH08R	vNSH09E	vNSH09R	vNSH10E	vNSH10R	vNSH11R	vNSH12E	vNSH12R
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	b_ASV00002	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	948	0	103	0	0	0	162	0	3	0	4	0	17201	0	0	0	18	0	0	0	28123	0	42465	0	35630	0	31660	0	24588	0	29916	0	31076	0	33177	0	8686	0	30484	0	39842	0	26727	0	1760	0	38019	0	34244	0	10609	0	25754	0	38810	3	34665	0	26573	0	30397	0	35346	2	29061	0	0	18879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	61	0	0	0	75	0	0	0	0	0	0	0	6081	0	6143	0	4738	0	13399	0	16694	0	12172	0	5089	0	8837	0	10443	0	5018	0	6577	0	339	0	15479	0	4914	0	17615	0	0	0	3	0	16970	0	18809	0	3910	0	1825	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	b_ASV00004	289	1798	137	1463	238	1955	68	916	229	1574	660	1776	97	949	193	1217	80	713	1552	85	1523	387	1878	98	774	0	1452	41	641	43	601	402	552	0	720	0	840	59	897	0	1201	836	643	0	1029	35	1281	89	1574	0	2183	105	1543	0	1731	86	1312	0	1655	764	1515	104	1371	0	1988	43	1379	58	1490	0	1350	0	2059	397	1607	0	1762	139	1845	157	1772	81	3004	0	867	97	1459	0	1850	2086	47	1857	2265	44	1389	261	1392	145	1625	816	1770	205	1207	0	826	54	820	84	804	1483	212	1857	1731	0	888	0	540	1049	605	69	793	65	1045	0	2592	0	967	60	487	775	0	1279	0	946	2574	0	1451	0	1428	74	2011	15	1614	0	1314	109	1848	0	1642	142	1524	57	2702	0	1233	535	1835	0	1630	52	2326	0	1994	83	1969	318	2076	128	1727	22	2301	0	1664	89	1863	59	1663	2282	48	1536
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	b_ASV00005	277	1080	204	903	166	560	39	190	93	276	246	325	0	420	126	408	133	542	359	41	449	54	365	84	211	102	308	39	406	120	884	0	376	245	357	65	599	133	356	274	235	212	344	0	334	0	261	47	165	80	397	102	396	19	316	146	379	34	260	817	411	93	226	17	157	0	351	200	311	18	411	34	258	408	348	18	414	0	241	87	956	0	290	0	126	0	832	60	299	535	0	499	482	121	739	403	583	81	434	605	353	169	238	32	253	33	232	172	473	728	270	836	410	87	354	24	284	286	145	70	645	105	581	99	975	58	357	266	290	307	54	420	147	513	478	64	210	56	283	66	367	0	237	19	373	57	389	35	334	167	498	65	546	38	195	158	310	57	309	0	109	24	346	0	497	68	472	82	207	0	356	15	385	83	542	40	198	317	44	535
Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	b_ASV00012	5	31	0	21	0	12	17	7	0	16	193	28	0	6	0	22	0	12	33	17	31	0	161	0	195	9	107	12	259	9	745	0	16	22	36	0	41	0	49	166	55	377	75	0	267	4	96	0	182	28	110	45	97	0	104	0	37	0	205	12	89	20	374	0	266	3	31	14	152	0	84	0	315	0	167	0	147	0	360	0	91	0	171	0	197	8	107	0	75	192	0	220	27	0	29	0	22	0	10	0	34	53	36	0	0	0	0	0	0	0	19	32	232	0	789	16	2820	4282	103	0	275	91	447	21	468	0	515	1069	359	3815	0	156	17	429	33	12	49	9	139	0	73	0	39	13	442	0	74	0	65	51	88	12	605	0	102	0	56	0	86	11	130	0	98	20	317	4	65	0	148	0	89	0	101	180	64	0	67	176	0	184
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia/Shigella	b_ASV00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	14	0	0	0	6	0	0	0	6	0	0	0	0	0	41	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	34	0	0	0	5	0	0	0	0	0	0	0	44	0	0	0	0	0	103	0	0	0	8	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	17	0	9	0	0	0	0	0	22	0	21	0	14	0	49	0	7	0	0	0	0	0	61	0	0	0	0	0	53	0	0	0	0	0	0	0	8	0	0	9	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	b_ASV00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5087	0	765	0	4117	0	663	0	0	0	0	0	0	0	209	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	282	12	34	0	52	0	0	0	213	14	0	0	221	10	138	0	994	0	387	0	170	0	182	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	64	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	b_ASV00015	0	57	0	22	53	0	35	0	0	22	0	57	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	608	0	0	0	86	37	0	0	0	0	82	0	58	0	0	0	0	0	44	0	109	0	249	0	121	0	31	0	59	0	356	0	77	19	0	0	0	0	22	33	8	0	0	0	27	0	0	0	0	0	0	0	0	0	175	0	15	0	0	76	0	162	105	63	44	70	52	0	0	0	17	0	38	58	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	36	0	0	0	0	0	0	0	0	76	77	65	0	0	568	91	0	0	133	62	44	0	0	0	75	46	989	0	373	103	78	0	30	0	0	0	113	0	10	0	48	0	0	0	0	0	0	21	18	0	15	0	243	0	219	48	0	645	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	b_ASV00016	0	151	158	103	306	266	261	83	302	279	128	76	54	109	35	56	138	81	210	352	81	46	490	48	56	53	105	58	151	47	15	45	0	24	0	120	42	114	77	115	25	48	42	6	70	18	76	29	19	21	55	157	198	19	27	10	41	49	138	1114	34	212	587	8	166	7	53	1844	103	0	72	0	81	622	122	11	160	9	53	41	387	35	146	6	60	44	448	34	77	131	38	41	109	153	56	102	124	51	104	120	161	0	30	0	47	14	43	73	26	250	303	32	92	38	0	0	75	61	0	69	32	150	0	33	152	23	61	123	526	52	171	69	160	121	60	22	113	0	29	36	20	48	19	0	52	65	19	0	35	36	70	15	60	14	31	20	91	172	28	0	0	0	144	0	53	236	81	9	417	17	169	8	150	7	38	54	55	107	8	141
Bacteria	Acidobacteria	Acidobacteria_Gp3	Acidobacteria_Gp3_ois	Acidobacteria_Gp3_fis	Gp3	b_ASV00017	0	191	24	442	37	215	0	80	0	132	0	137	0	100	0	65	47	73	139	25	138	0	86	0	92	0	629	0	187	0	174	0	86	0	124	0	115	0	146	0	68	66	137	0	127	0	42	0	84	0	164	0	345	0	212	0	145	0	149	0	177	0	118	0	76	0	183	0	365	0	591	0	354	0	547	0	450	0	701	0	795	0	815	0	404	0	594	0	300	680	0	745	647	0	458	26	182	0	136	0	273	34	129	0	113	0	27	0	55	153	36	277	111	0	66	0	224	197	105	14	356	0	315	0	366	0	98	0	184	394	0	135	0	298	271	0	133	0	254	0	427	0	208	0	328	0	303	0	376	0	163	0	286	0	259	0	289	0	313	0	161	15	479	0	910	0	467	0	635	0	481	0	502	0	580	0	640	1032	0	617
Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	b_ASV00018	0	75	0	103	155	84	89	0	0	127	168	97	0	51	0	12	102	36	73	0	48	96	27	61	95	58	280	288	90	288	60	0	16	45	118	0	91	59	337	296	36	64	54	0	219	0	43	0	87	0	132	0	72	0	70	42	35	0	18	251	16	0	76	0	23	0	28	0	26	0	33	0	352	291	114	0	331	0	286	103	124	0	65	0	37	0	142	0	198	125	0	197	73	0	51	348	63	40	0	106	100	193	163	0	0	0	0	0	0	37	94	22	53	32	70	0	401	209	21	0	68	109	95	0	413	0	254	52	134	271	17	168	22	263	55	18	59	25	150	278	73	0	0	0	93	0	19	0	0	0	83	0	153	0	33	308	51	0	97	0	73	45	131	0	317	0	77	169	102	0	111	0	278	0	195	0	144	221	0	271
Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	b_ASV00019	0	0	0	61	0	54	0	61	0	122	0	183	0	47	0	26	0	51	35	0	78	0	0	0	19	0	55	0	178	0	0	0	103	0	39	0	118	0	371	0	334	70	211	0	85	0	851	0	295	0	560	0	551	0	1593	0	434	0	1092	0	1257	0	533	0	1093	0	523	0	911	0	677	0	1189	0	1056	0	455	0	0	0	315	0	50	0	275	0	173	0	141	806	0	74	89	0	47	0	67	0	0	0	174	0	111	0	53	0	45	0	0	0	0	70	0	0	91	0	42	481	0	0	62	0	65	0	284	0	276	0	78	52	0	307	0	113	1196	0	607	0	868	0	1161	0	1409	0	588	0	800	0	609	0	674	0	1829	0	914	0	1010	0	703	0	1132	0	645	0	1087	0	426	0	696	0	752	0	362	0	185	0	264	207	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Reyranellaceae	Reyranella	b_ASV00020	117	92	20	156	36	138	12	87	64	206	195	209	0	127	18	198	0	114	200	42	128	0	745	0	40	0	137	0	129	0	109	0	69	0	85	0	28	8	49	10	56	31	95	0	122	0	263	0	112	0	87	11	293	0	447	0	166	0	209	0	227	0	208	0	101	0	89	11	436	3	379	0	188	0	413	8	253	8	288	28	361	26	523	0	280	4	399	0	281	664	0	190	154	20	156	163	110	12	72	195	251	189	146	0	92	24	72	19	80	269	99	115	199	0	124	0	436	113	56	17	149	0	245	0	59	0	66	0	78	306	0	157	0	81	405	0	293	0	208	19	167	0	203	0	161	0	217	0	190	0	132	24	208	0	292	12	269	0	222	9	249	7	305	13	576	0	399	53	464	0	364	0	343	0	201	0	367	737	0	222
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	b_ASV00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	16	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	b_ASV00022	11	0	261	0	115	101	214	19	109	47	0	23	373	71	81	0	324	56	153	51	0	391	0	295	94	425	352	356	0	1277	0	0	0	581	26	0	99	16	83	180	57	79	47	0	27	0	0	75	0	39	35	208	32	358	0	103	59	35	67	148	35	186	0	100	0	15	238	4786	37	6	0	0	28	38	0	0	0	0	0	0	115	6	27	0	0	70	25	0	42	160	9	0	59	0	26	83	0	82	0	0	39	0	49	219	24	14	48	169	0	105	38	45	32	299	197	27	119	227	76	1352	443	840	33	298	167	238	58	0	97	40	306	134	341	123	0	438	87	13	45	34	33	494	29	29	0	33	27	268	39	55	0	121	0	37	70	65	82	132	53	0	0	0	66	39	43	34	82	0	74	62	95	327	219	19	66	81	40	46	0	25
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	b_ASV00023	0	53	8	72	20	132	10	43	0	330	0	186	0	26	0	27	0	0	114	0	38	0	192	0	25	0	1309	67	14	0	0	0	0	0	40	0	36	0	106	0	12	6	17	0	209	6	189	0	48	0	45	0	365	0	73	0	17	0	0	0	0	0	34	0	0	0	0	0	0	0	246	0	84	0	200	0	131	0	263	0	140	0	178	0	168	0	717	0	246	91	10	258	187	0	37	49	178	4	225	0	207	0	159	0	31	0	0	0	0	67	0	0	138	0	0	0	675	79	0	0	0	0	24	0	344	0	193	18	430	75	0	65	0	98	0	0	0	0	27	0	0	0	0	0	177	0	0	0	0	0	0	0	161	0	28	0	0	20	40	0	17	5	258	0	722	0	122	0	2509	0	529	9	376	0	425	0	117	1089	0	337
Bacteria	candidate_division_WPS-1	unclassified	unclassified	unclassified	unclassified	b_ASV00026	0	66	0	0	0	89	0	0	0	34	0	58	0	0	0	0	0	0	29	0	0	0	87	0	64	0	82	0	289	0	41	0	99	0	76	0	0	0	0	0	0	42	52	0	73	0	0	0	45	0	162	0	335	0	155	0	68	0	34	0	183	0	19	0	0	0	70	0	60	0	2126	0	83	0	2267	0	253	0	1293	0	658	0	2278	0	107	0	889	0	61	1455	0	527	75	0	91	0	0	0	104	0	0	0	0	0	0	0	0	0	0	40	0	110	54	0	32	0	0	989	0	0	31	0	27	0	0	0	0	0	28	32	0	29	0	125	807	0	64	0	126	0	275	0	166	0	40	0	106	0	157	0	267	0	692	0	25	0	159	0	199	0	139	0	473	0	240	0	88	0	361	0	354	0	0	0	799	0	175	80	0	496
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	b_ASV00027	0	60	0	47	0	52	0	81	0	104	0	62	0	52	0	54	0	0	0	0	0	0	69	0	53	0	100	14	241	0	86	0	0	0	70	0	0	0	85	66	91	0	81	0	155	0	275	0	104	0	86	10	215	0	321	0	142	0	177	0	235	0	79	0	139	0	105	28	195	0	213	0	225	14	326	0	237	7	389	319	723	18	574	0	155	0	535	0	312	566	0	309	45	0	0	0	0	0	0	0	77	0	109	0	0	0	0	0	0	0	0	0	0	0	91	0	113	78	123	45	127	0	115	0	230	0	96	0	88	120	0	213	0	211	237	0	190	0	101	0	282	0	170	0	136	0	223	0	107	0	70	40	295	0	245	0	330	8	229	0	207	0	314	11	252	13	145	10	222	0	188	0	164	44	290	0	224	411	0	329
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	b_ASV00029	0	17	55	70	387	53	70	35	46	31	93	24	88	0	0	21	0	76	26	50	92	0	0	0	24	0	19	0	36	94	125	8	53	20	29	0	36	0	174	16	46	32	89	0	21	0	19	0	53	20	82	18	142	0	71	10	43	0	51	44	132	16	130	3	71	2	89	22	36	0	68	0	17	0	58	0	12	0	0	4	31	0	25	0	99	0	28	0	50	93	0	29	26	24	133	0	58	9	47	0	58	0	48	0	0	0	0	0	48	46	0	152	70	0	109	7	19	36	87	0	104	0	82	0	409	0	172	33	154	31	35	75	28	101	82	0	7	37	126	24	69	0	67	17	51	0	44	23	90	0	76	53	95	0	69	5	45	0	34	0	0	0	0	7	18	0	0	0	28	0	0	0	0	0	0	0	55	0	0	23
Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	b_ASV00031	0	140	0	463	12	366	0	86	0	291	29	142	14	86	0	198	0	111	197	17	243	0	452	0	113	0	106	0	302	0	0	0	0	0	167	0	51	0	0	0	0	0	34	0	71	0	136	0	0	0	79	0	133	0	138	3	109	0	263	0	209	0	0	0	0	0	39	0	122	0	0	0	1140	0	296	0	422	0	237	0	63	0	226	0	28	10	302	0	238	113	0	316	130	0	213	0	206	0	122	0	245	17	180	0	47	0	39	0	77	329	3	212	242	0	53	0	84	458	0	0	0	0	0	0	222	0	0	0	0	0	0	73	0	89	122	0	56	0	73	0	170	0	33	0	243	0	162	0	238	14	114	0	192	0	0	0	92	0	166	0	0	0	326	0	475	0	236	0	311	0	301	0	303	10	771	0	136	251	0	219
Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	b_ASV00032	0	0	42	0	13	0	21	9	102	27	1319	15	41	0	70	34	0	0	11	109	0	0	12	43	0	173	34	249	0	0	0	0	0	44	0	0	0	532	12	0	0	14	0	0	0	9	0	44	38	46	9	8	0	0	11	0	0	14	12	470	47	124	136	0	80	23	12	251	0	0	14	66	19	22	7	11	29	244	15	15	0	209	53	0	0	24	0	9	0	21	0	0	0	14	0	0	0	18	0	29	24	39	38	0	0	0	0	104	0	0	0	0	33	11	0	6	12	44	0	20	18	25	0	90	34	79	0	0	0	30	5	0	0	0	27	68	0	27	17	0	0	5	0	0	30	14	0	11	0	658	57	18	22	0	0	0	29	0	0	0	0	13	44	20	29	0	0	423	0	12	0	5	0	22	0	5	0	31	61	22
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Kribbellaceae	Kribbella	b_ASV00034	0	0	0	0	0	0	0	0	0	0	15	23	0	0	0	0	0	0	57	0	0	0	0	0	99	44	293	0	265	83	394	0	0	0	77	0	59	0	63	0	33	61	76	0	154	0	284	0	31	0	44	35	117	0	212	0	91	0	73	0	49	9	204	0	238	0	0	0	127	0	43	0	383	0	103	0	154	4	261	7	509	0	107	0	144	0	131	0	210	394	0	296	34	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	241	4	1490	941	88	0	0	0	152	25	614	0	326	0	115	903	0	177	15	128	111	0	0	0	119	0	165	0	95	0	169	0	0	0	76	0	0	0	268	0	160	0	93	0	111	0	106	0	129	0	591	0	125	15	177	0	84	0	340	0	384	0	147	589	0	217
Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	b_ASV00036	0	164	0	502	0	122	0	34	0	46	0	72	0	106	0	106	0	130	60	0	146	0	56	0	0	0	10	0	32	0	0	0	55	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	37	0	11	0	18	0	67	0	0	0	0	0	6	0	0	0	0	0	12	0	203	0	272	0	327	0	165	0	20	0	82	0	79	0	33	0	122	0	57	48	0	53	132	0	410	0	114	0	43	0	50	0	18	0	58	0	60	0	105	140	0	119	26	0	0	0	0	48	0	0	55	0	0	0	74	0	0	0	0	0	0	0	0	11	0	0	26	0	21	0	0	0	22	0	22	0	77	0	0	0	34	0	14	0	0	0	28	0	135	0	116	0	167	0	303	0	208	0	108	0	328	0	112	0	59	0	44	90	0	22
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	b_ASV00038	0	60	0	33	0	76	0	95	0	91	0	152	0	0	0	0	0	0	34	0	0	0	31	0	19	0	483	0	0	0	16	0	0	0	122	0	95	0	36	0	35	15	20	0	1217	0	57	0	29	0	178	0	11	0	40	0	0	0	38	0	0	0	38	0	0	0	12	0	0	0	0	0	60	0	61	0	46	0	83	0	0	0	0	0	0	0	27	0	0	0	0	178	219	0	54	0	105	0	168	0	234	0	518	0	0	0	0	0	0	20	0	88	99	0	38	0	1499	629	0	0	0	0	578	0	221	0	656	19	1057	654	0	34	0	139	28	0	0	0	180	0	20	0	22	0	116	0	14	0	0	0	17	0	247	0	19	0	29	0	26	0	75	14	87	0	52	0	99	13	94	0	82	0	58	0	186	0	40	53	0	99
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	b_ASV00040	0	60	0	68	0	74	0	35	0	69	0	67	0	0	0	0	0	0	47	0	43	0	28	0	148	0	474	0	199	0	13	0	22	0	30	0	81	0	140	0	54	92	67	0	350	0	299	0	110	0	66	0	0	0	74	0	61	0	82	0	13	0	200	0	16	0	26	0	94	0	93	0	170	0	76	0	137	0	368	0	90	0	76	0	96	0	81	0	177	146	0	276	161	0	48	0	47	0	73	0	75	0	106	0	0	0	0	0	0	52	0	50	153	0	54	0	441	191	65	0	113	0	99	0	270	0	192	0	340	133	0	188	0	177	106	10	26	0	137	0	55	0	36	0	190	0	49	0	48	32	88	0	143	0	443	0	65	0	122	0	74	0	114	0	110	10	117	0	180	0	144	0	235	23	180	0	130	147	0	200
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	b_ASV00041	43	134	27	65	14	156	0	56	20	88	42	82	26	68	20	69	18	62	98	18	44	0	54	35	88	0	112	22	370	16	223	0	148	7	119	0	113	0	170	0	124	415	146	0	301	0	227	9	135	0	141	58	68	0	151	24	85	0	101	42	115	11	165	0	59	0	99	16	99	0	54	0	139	0	110	0	110	11	276	37	66	0	117	0	161	0	57	9	82	86	0	120	119	0	56	35	96	0	68	31	123	13	114	0	0	0	53	0	85	127	83	84	112	0	206	0	165	269	169	0	114	0	233	0	245	12	182	15	116	350	0	193	30	284	144	0	146	10	137	0	74	0	72	0	75	0	141	0	85	29	162	0	106	0	192	0	130	0	121	0	79	20	154	0	99	10	133	20	82	0	96	0	110	43	155	39	115	153	0	91
Bacteria	Verrucomicrobia	Spartobacteria	unclassified	unclassified	unclassified	b_ASV00042	0	503	0	697	0	302	0	73	0	245	0	110	13	309	0	247	0	502	382	0	551	0	294	0	0	0	0	0	22	0	15	0	333	0	196	0	246	0	111	0	68	0	111	0	0	0	0	0	132	0	133	0	30	0	0	0	94	0	13	0	70	0	14	0	0	0	148	0	0	0	67	0	109	0	37	0	70	0	0	0	45	0	0	0	0	0	147	0	0	44	0	56	133	0	269	31	204	0	52	0	139	0	29	0	110	0	77	0	457	504	0	545	172	0	26	0	0	0	0	0	200	0	0	0	87	0	63	0	71	0	0	0	0	37	0	0	33	0	75	0	36	0	0	0	0	0	68	0	45	0	131	0	0	0	0	0	0	0	28	0	0	0	37	0	114	0	0	0	61	0	194	0	43	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	b_ASV00043	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	28	22
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	b_ASV00044	0	81	0	144	0	152	0	36	0	86	0	89	0	65	0	39	0	46	68	0	99	0	107	0	17	0	0	0	51	0	0	0	18	0	0	0	32	0	17	0	0	96	62	0	274	0	85	0	29	0	67	0	100	0	179	0	27	0	68	0	93	0	212	0	35	0	0	0	142	6	198	0	113	0	128	0	168	0	127	0	228	0	146	0	0	0	212	0	87	303	0	334	99	0	0	0	79	0	34	0	70	0	146	0	63	0	0	0	50	253	0	61	93	0	62	0	0	115	0	0	48	27	0	0	319	0	40	0	45	83	0	229	0	364	158	0	0	0	0	17	27	0	59	0	283	0	67	0	88	0	72	0	503	0	125	0	118	0	197	0	51	0	217	0	293	0	157	0	108	0	99	0	131	5	303	0	101	383	0	744
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	b_ASV00045	0	0	36	24	131	24	29	11	14	0	48	24	14	22	0	0	0	24	19	0	22	0	15	0	0	0	0	0	7	82	135	0	25	0	28	0	67	0	40	0	8	91	40	0	0	0	14	11	33	0	40	16	49	0	33	0	21	0	35	11	62	11	93	0	62	0	60	0	35	14	157	0	21	0	44	0	0	0	22	0	20	0	20	0	61	11	53	8	58	55	0	0	0	0	69	0	0	0	0	0	0	0	17	0	53	0	0	0	0	0	41	47	0	0	78	15	19	23	40	0	49	0	50	0	94	0	34	15	51	0	15	46	0	35	63	0	18	0	64	13	33	0	63	21	32	0	24	0	47	0	59	35	59	14	0	0	46	0	62	9	42	0	53	0	0	0	0	5	39	0	33	7	50	0	22	0	52	18	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	b_ASV00046	0	71	12	191	0	187	0	63	12	132	0	59	0	66	0	87	0	75	122	0	99	0	111	16	84	0	52	0	226	0	110	0	90	0	78	0	113	0	175	0	103	145	106	0	74	0	128	12	39	0	50	19	63	0	82	53	107	0	114	13	75	0	169	0	57	0	131	0	97	0	37	0	48	21	122	0	68	0	88	0	130	0	108	0	30	0	61	0	167	85	4	94	92	0	143	13	127	0	145	0	95	0	52	0	76	0	34	0	58	167	0	134	169	4	83	0	42	98	67	0	98	44	76	0	228	0	82	0	79	71	0	168	0	167	228	0	105	0	89	0	146	0	92	92	87	0	89	0	83	0	129	0	236	0	66	0	132	10	65	8	50	0	155	0	95	17	235	18	70	0	129	0	121	6	82	0	60	106	0	51
