Kingdom	Phylum	Class	Order	Family	Genus	ASV_names	prASH01E	prASH01R	prASH02E	prASH02R	prASH03E	prASH03R	prASH04E	prASH04R	prASH05E	prASH05R	prASH06E	prASH06R	prASH07E	prASH07R	prASH08E	prASH08R	prASH09E	prASH09R	prASH10E	prASH10R	prASH11E	prASH11R	prASH12E	prASH12R	prBSD01E	prBSD01R	prBSD02E	prBSD02R	prBSD03E	prBSD03R	prBSD04E	prBSD04R	prBSD05E	prBSD05R	prBSD06E	prBSD06R	prBSD07E	prBSD07R	prBSD08E	prBSD08R	prBSD09E	prBSD09R	prBSD10E	prBSD10R	prBSD11E	prBSD11R	prBSD12E	prBSD12R	prNSD01E	prNSD01R	prNSD02E	prNSD02R	prNSD03E	prNSD03R	prNSD04E	prNSD04R	prNSD05E	prNSD05R	prNSD06E	prNSD06R	prNSD07E	prNSD07R	prNSD08E	prNSD08R	prNSD09E	prNSD09R	prNSD10E	prNSD10R	prNSD11E	prNSD11R	prNSD12E	prNSD12R	prNSH01E	prNSH01R	prNSH02E	prNSH02R	prNSH03E	prNSH03R	prNSH04E	prNSH04R	prNSH05E	prNSH05R	prNSH06E	prNSH06R	prNSH07E	prNSH07R	prNSH08E	prNSH08R	prNSH09E	prNSH09R	prNSH10E	prNSH10R	prNSH11E	prNSH11R	prNSH12E	prNSH12R	vASH01E	vASH01R	vASH02E	vASH02R	vASH03E	vASH03R	vASH04E	vASH04R	vASH05E	vASH05R	vASH06E	vASH06R	vASH07E	vASH07R	vASH08E	vASH08R	vASH09E	vASH09R	vASH10E	vASH10R	vASH11E	vASH11R	vASH12E	vASH12R	vBSD01E	vBSD01R	vBSD02E	vBSD02R	vBSD03E	vBSD03R	vBSD04E	vBSD04R	vBSD05E	vBSD05R	vBSD06E	vBSD06R	vBSD07E	vBSD07R	vBSD08E	vBSD08R	vBSD09E	vBSD09R	vBSD10E	vBSD10R	vBSD11E	vBSD11R	vBSD12E	vBSD12R	vNSD01E	vNSD01R	vNSD02E	vNSD02R	vNSD03E	vNSD03R	vNSD04E	vNSD04R	vNSD05E	vNSD05R	vNSD06E	vNSD06R	vNSD07E	vNSD07R	vNSD08E	vNSD08R	vNSD09E	vNSD09R	vNSD10E	vNSD10R	vNSD11E	vNSD11R	vNSD12E	vNSD12R	vNSH01E	vNSH01R	vNSH02E	vNSH02R	vNSH03E	vNSH03R	vNSH04E	vNSH04R	vNSH05E	vNSH05R	vNSH06E	vNSH06R	vNSH07E	vNSH07R	vNSH08E	vNSH08R	vNSH09E	vNSH09R	vNSH10E	vNSH10R	vNSH11E	vNSH11R	vNSH12E	vNSH12R
Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	unclassified	f_ASV00011	0	0	7120	1165	642	481	263	186	0	229	342	146	754	769	0	0	2447	1917	429	116	0	0	322	54	62	2162	115	0	0	0	0	0	0	0	0	0	489	632	351	498	0	0	122	1363	4	0	0	0	1419	201	1090	434	711	702	1037	83	229	80	733	494	4715	0	8452	974	5274	0	64	299	117	0	0	0	13	11	0	0	0	0	11024	1143	0	0	0	0	0	50	0	82	27	0	104	0	0	0	0	0	0	0	448	0	6275	0	127	0	0	0	0	0	4104	0	18	0	3654	0	456	0	0	0	195	0	752	0	0	0	0	0	0	0	0	0	0	0	88	0	280	0	0	0	1661	0	1544	0	0	0	4	0	500	0	0	0	1457	0	0	0	47	0	1091	0	2610	0	0	0	775	0	0	0	0	0	0	0	0	0	0	0	141	0	6824	0	0	0	66	0	0	0	80	0	559	0	136	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	f_ASV00012	0	0	0	72	0	0	0	0	0	0	0	635	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	18	0	15	0	11	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5443	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	1600	0	0	0	0	0	0	0	0	75	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00013	3280	109	80	0	90	47	598	32	1896	81	0	0	0	0	1913	0	1345	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	13	38	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4632	0	0	0	416	0	6222	0	2799	0	1007	0	0	0	2884	0	0	0	0	0	0	0	1053	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Xenopolyscytalum	f_ASV00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1057	0	0	0	1869	0	8	0	0	0	574	0	1085	11	444	0	2893	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6367	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1316	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00015	0	0	0	0	0	0	357	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609	0	0	50	0	0	1720	7	0	0	0	0	0	0	37	0	0	0	0	0	1511	7	0	0	0	0	32103	0	0	0	0	0	0	0	0	0	0	0	0	0	28715	12	0	0	6793	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21262	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27130	237	0	0	0	0	28187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457	122	974	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00016	11937	417	136	0	102	107	0	0	2690	379	0	0	999	225	5408	92	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	49	99	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	1894	0	0	0	3652	0	0	0	2503	0	16581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	f_ASV00017	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	17204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	20299	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	15	14630	0	11255	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12195	84	0	0	194	0	0	169	0	0	0	0	24	0	0	0	0	0	0	0	0	0	6461	0	0	0	0	0	0	0	23716	34	27879	479	0	0	27	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	unclassified	unclassified	f_ASV00018	0	0	0	0	0	0	0	0	2890	401	0	35	0	0	1290	20	0	0	5559	313	330	0	32	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	8729	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	30	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3993	0	1776	0	0	0	1464	0	0	0	17948	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30275	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	f_ASV00019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	f_ASV00020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	53	2248	0	0	0	2238	0	0	0	0	0	459	0	0	0	0	0	1863	0	8552	0	20936	0	0	0	6800	0	9710	0	22	0	0	0	0	0	0	0	0	0	0	0	3299	0	1583	0	218	0	0	0	0	0	377	0	0	0	135	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	857	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2882	0	0	0	1174	0	0	0	495	0	0	0	0	0	0	6	4651	0	4616	0	42	0	0	0	5567	150	4575	0	0	0	516	0	0	0	136	0	0	0	0	0	0	0	1591	0	0	0	0	0	301	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2199	0	0
