eventID,parentEventID,eventDate,type,eventType,language,license,bibliographicCitation,institutionCode,datasetName,samplingProtocol,year,month,day,continent,country,countryCode,stateProvince,municipality,locality,decimalLatitude,decimalLongitude,verbatimCoordinates,verbatimElevation,habitat,eventRemarks,fieldNumber,locationID
ASH11,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Alhama de Granada,Cuerda Granada al puerto de Cómpeta,36.8813888889,-3.92538888889,36⁰ 52’ 53’’ N 03⁰ 55’ 31.4’’ W,1510,Pinus sylvestris tree,asymptomatic,ASH11,Sierra de Almijara
ASH12,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Alhama de Granada,Cuerda Granada al puerto de Cómpeta,36.8813888889,-3.92538888889,36⁰ 52’ 53’’ N 03⁰ 55’ 31.4’’ W,1510,Pinus sylvestris tree,asymptomatic,ASH12,Sierra de Almijara
BSD01,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD01,Sierra de Baza
BSD02,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD02,Sierra de Baza
BSD03,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD03,Sierra de Baza
BSD04,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD04,Sierra de Baza
BSD05,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD05,Sierra de Baza
BSD06,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD06,Sierra de Baza
BSD07,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD07,Sierra de Baza
BSD08,NA,,Event,Site,en,https://creativecommons.org/licenses/by/4.0/legalcode.es,"Lasa, A.V.; Fernández-González, A.J.; Villadas, P.J.; Mercado-Blanco, J.; Pérez-Luque, A.J.; Fernández-López, M. (2024). Mediterranean pine forest decline: a matter of root-associated microbiota and climate change. Science of The Total Environment 926: 171858. doi: 10.1016/j.scitotenv.2024.171858",CSIC-EEZ,Root-associated microbiota of decline-affected and asymptomatic Pinus sylvestris trees,NA,,,,Europe,Spain,ES,Granada,Baza,Cortijo del Moro,37.2890833333,-2.70555555556,37⁰ 17’ 20.7’’ N 02⁰ 42’ 20.0’’ W,1584,Pinus sylvestris tree,symptomatic,BSD08,Sierra de Baza
